date,total_vaccinations,people_vaccinated,people_fully_vaccinated,location,source_url,vaccine,total_boosters
2021-11-01,304528,157343,147185,French Polynesia,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,"Johnson&Johnson, Pfizer/BioNTech",
2021-11-15,312817,159343,153474,French Polynesia,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,"Johnson&Johnson, Pfizer/BioNTech",
2021-11-22,314576,161102,153474,French Polynesia,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,"Johnson&Johnson, Pfizer/BioNTech",
2021-11-30,318790,162831,155959,French Polynesia,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,"Johnson&Johnson, Pfizer/BioNTech",
2021-12-06,321000,165041,155959,French Polynesia,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,"Johnson&Johnson, Pfizer/BioNTech",
2021-12-13,324631,167068,157563,French Polynesia,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,"Johnson&Johnson, Pfizer/BioNTech",
2021-12-20,329095,169995,159100,French Polynesia,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,"Johnson&Johnson, Pfizer/BioNTech",
2022-01-04,332873,173773,159100,French Polynesia,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,"Johnson&Johnson, Pfizer/BioNTech",
2022-01-18,342983,176934,166049,French Polynesia,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,"Johnson&Johnson, Pfizer/BioNTech",
2022-02-07,347320,181271,166049,French Polynesia,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,"Johnson&Johnson, Pfizer/BioNTech",
