date,indicator,value,entity
2020-06-04,Weekly new hospital admissions,59.0,Israel
2020-06-05,Daily hospital occupancy,127,Israel
2020-06-05,Weekly new ICU admissions,1.0,Israel
2020-06-05,Weekly new hospital admissions,62.0,Israel
2020-06-06,Daily hospital occupancy,125,Israel
2020-06-06,Weekly new ICU admissions,1.0,Israel
2020-06-06,Weekly new hospital admissions,66.0,Israel
2020-06-07,Daily hospital occupancy,131,Israel
2020-06-07,Weekly new ICU admissions,2.0,Israel
2020-06-07,Weekly new hospital admissions,73.0,Israel
2020-06-08,Daily hospital occupancy,142,Israel
2020-06-08,Weekly new ICU admissions,2.0,Israel
2020-06-08,Weekly new hospital admissions,77.0,Israel
2020-06-09,Daily hospital occupancy,137,Israel
2020-06-09,Weekly new ICU admissions,3.0,Israel
2020-06-09,Weekly new hospital admissions,74.0,Israel
2020-06-10,Daily hospital occupancy,146,Israel
2020-06-10,Weekly new ICU admissions,4.0,Israel
2020-06-10,Weekly new hospital admissions,91.0,Israel
2020-06-11,Daily hospital occupancy,142,Israel
2020-06-11,Weekly new ICU admissions,4.0,Israel
2020-06-11,Weekly new hospital admissions,93.0,Israel
2020-06-12,Daily hospital occupancy,144,Israel
2020-06-12,Weekly new ICU admissions,5.0,Israel
2020-06-12,Weekly new hospital admissions,98.0,Israel
2020-06-13,Daily hospital occupancy,142,Israel
2020-06-13,Weekly new ICU admissions,6.0,Israel
2020-06-13,Weekly new hospital admissions,100.0,Israel
2020-06-14,Daily hospital occupancy,153,Israel
2020-06-14,Weekly new ICU admissions,5.0,Israel
2020-06-14,Weekly new hospital admissions,103.0,Israel
2020-06-15,Daily hospital occupancy,163,Israel
2020-06-15,Weekly new ICU admissions,8.0,Israel
2020-06-15,Weekly new hospital admissions,110.0,Israel
2020-06-16,Daily hospital occupancy,160,Israel
2020-06-16,Weekly new ICU admissions,9.0,Israel
2020-06-16,Weekly new hospital admissions,121.0,Israel
2020-06-17,Daily hospital occupancy,165,Israel
2020-06-17,Weekly new ICU admissions,11.0,Israel
2020-06-17,Weekly new hospital admissions,119.0,Israel
2020-06-18,Daily hospital occupancy,193,Israel
2020-06-18,Weekly new ICU admissions,14.0,Israel
2020-06-18,Weekly new hospital admissions,143.0,Israel
2020-06-19,Daily hospital occupancy,200,Israel
2020-06-19,Weekly new ICU admissions,14.0,Israel
2020-06-19,Weekly new hospital admissions,159.0,Israel
2020-06-20,Daily hospital occupancy,221,Israel
2020-06-20,Weekly new ICU admissions,13.0,Israel
2020-06-20,Weekly new hospital admissions,180.0,Israel
