date,value,indicator,entity
2021-11-07,511,Daily hospital occupancy,Bolivia
2021-11-08,519,Daily hospital occupancy,Bolivia
2021-11-09,522,Daily hospital occupancy,Bolivia
2021-11-10,546,Daily hospital occupancy,Bolivia
2021-11-11,570,Daily hospital occupancy,Bolivia
2021-11-12,591,Daily hospital occupancy,Bolivia
2021-11-13,595,Daily hospital occupancy,Bolivia
2021-11-14,577,Daily hospital occupancy,Bolivia
2021-11-15,603,Daily hospital occupancy,Bolivia
2021-11-16,641,Daily hospital occupancy,Bolivia
2021-11-17,651,Daily hospital occupancy,Bolivia
2021-11-18,652,Daily hospital occupancy,Bolivia
2021-11-19,658,Daily hospital occupancy,Bolivia
2021-11-20,663,Daily hospital occupancy,Bolivia
2021-11-21,665,Daily hospital occupancy,Bolivia
2021-11-22,667,Daily hospital occupancy,Bolivia
2021-11-23,674,Daily hospital occupancy,Bolivia
2021-11-24,679,Daily hospital occupancy,Bolivia
2021-11-25,682,Daily hospital occupancy,Bolivia
2021-11-26,680,Daily hospital occupancy,Bolivia
2021-11-27,699,Daily hospital occupancy,Bolivia
2021-11-28,706,Daily hospital occupancy,Bolivia
2021-11-29,729,Daily hospital occupancy,Bolivia
2021-11-30,704,Daily hospital occupancy,Bolivia
2021-12-01,723,Daily hospital occupancy,Bolivia
2021-12-02,721,Daily hospital occupancy,Bolivia
2021-12-03,729,Daily hospital occupancy,Bolivia
2021-12-04,727,Daily hospital occupancy,Bolivia
2021-12-05,708,Daily hospital occupancy,Bolivia
2021-12-06,698,Daily hospital occupancy,Bolivia
2021-12-07,733,Daily hospital occupancy,Bolivia
2021-12-08,734,Daily hospital occupancy,Bolivia
2021-12-09,774,Daily hospital occupancy,Bolivia
2021-12-10,775,Daily hospital occupancy,Bolivia
2021-12-11,770,Daily hospital occupancy,Bolivia
2021-12-12,750,Daily hospital occupancy,Bolivia
2021-12-13,828,Daily hospital occupancy,Bolivia
2021-12-14,828,Daily hospital occupancy,Bolivia
2021-12-15,850,Daily hospital occupancy,Bolivia
2021-12-16,854,Daily hospital occupancy,Bolivia
2021-12-17,871,Daily hospital occupancy,Bolivia
2021-12-18,879,Daily hospital occupancy,Bolivia
2021-12-19,892,Daily hospital occupancy,Bolivia
2021-12-20,924,Daily hospital occupancy,Bolivia
2021-12-21,934,Daily hospital occupancy,Bolivia
2021-12-22,933,Daily hospital occupancy,Bolivia
2021-12-23,954,Daily hospital occupancy,Bolivia
2021-12-24,931,Daily hospital occupancy,Bolivia
2021-12-25,956,Daily hospital occupancy,Bolivia
2021-12-26,973,Daily hospital occupancy,Bolivia
2021-12-27,1001,Daily hospital occupancy,Bolivia
2021-12-28,1024,Daily hospital occupancy,Bolivia
2021-12-29,1083,Daily hospital occupancy,Bolivia
2021-12-30,1129,Daily hospital occupancy,Bolivia
2021-12-31,1160,Daily hospital occupancy,Bolivia
2022-01-01,1171,Daily hospital occupancy,Bolivia
2022-01-02,1209,Daily hospital occupancy,Bolivia
2022-01-03,1223,Daily hospital occupancy,Bolivia
2022-01-04,1316,Daily hospital occupancy,Bolivia
2022-01-05,1395,Daily hospital occupancy,Bolivia
2022-01-06,1490,Daily hospital occupancy,Bolivia
2022-01-07,1516,Daily hospital occupancy,Bolivia
2022-01-08,1564,Daily hospital occupancy,Bolivia
2022-01-09,1620,Daily hospital occupancy,Bolivia
2022-01-10,1667,Daily hospital occupancy,Bolivia
2022-01-11,1701,Daily hospital occupancy,Bolivia
2022-01-12,1767,Daily hospital occupancy,Bolivia
