iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
BEN,Africa,Benin,2022-01-28,26450.0,141.0,20.143,163.0,0.0,0.0,2124.322,11.324,1.618,13.091,0.0,0.0,0.43,,,,,,,,,,,,,,,,,,2138322.0,2039793.0,1625516.0,,,16074.0,17.17,16.38,13.06,,1291.0,14935.0,0.12,55.56,12451031.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,,,
BMU,North America,Bermuda,2022-01-28,10552.0,290.0,112.286,116.0,0.0,0.571,169941.377,4670.489,1808.377,1868.196,0.0,9.203,,,,,,,,,,,,,,,,,,,115624.0,46594.0,45778.0,23252.0,,66.0,186.21,75.04,73.73,37.45,1063.0,16.0,0.026,,62092.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,,,,
BTN,Asia,Bhutan,2022-01-28,4430.0,205.0,138.857,4.0,1.0,0.143,5680.215,262.854,178.045,5.129,1.282,0.183,1.79,,,,,,,,,6203.0,1407254.0,1804.403,7.954,6668.0,8.55,0.018,56.3,samples tested,1163781.0,593634.0,570147.0,,,157.0,149.22,76.12,73.11,,201.0,76.0,0.01,,779900.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,,,,
BOL,South America,Bolivia,2022-01-28,841757.0,6587.0,6667.143,20824.0,50.0,45.714,71136.783,556.667,563.439,1759.834,4.225,3.863,1.28,,,,,,,,,24637.0,3480473.0,294.134,2.082,22161.0,1.873,0.54,1.9,tests performed,11408180.0,6577720.0,5028922.0,796499.0,50402.0,63201.0,96.41,55.59,42.5,6.73,5341.0,31729.0,0.268,26.85,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
BES,North America,Bonaire Sint Eustatius and Saba,2022-01-28,6876.0,47.0,99.429,27.0,0.0,0.0,260011.344,1777.274,3759.825,1020.987,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26445.0,,,,,,,,,,,,,77.79,,,,,
BIH,Europe,Bosnia and Herzegovina,2022-01-28,343986.0,2073.0,2059.571,14310.0,67.0,46.571,105405.338,635.216,631.101,4384.918,20.53,14.271,1.31,,,,,,,,,,,,,,,,,,,939775.0,842954.0,120530.0,,,,28.8,25.83,3.69,,1020.0,0.031,47.22,3263459.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,,,,
BWA,Africa,Botswana,2022-01-28,250746.0,4842.0,971.429,2580.0,15.0,5.143,104597.787,2019.823,405.228,1076.238,6.257,2.145,1.14,,,,,,,,,,2108285.0,879.463,,4787.0,1.997,0.203,4.9,tests performed,,1193823.0,1079089.0,,,,,49.8,45.01,,,1449.0,0.06,21.3,2397240.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,,,,
BRA,South America,Brazil,2022-01-28,25050601.0,260806.0,183443.143,626170.0,780.0,470.714,117062.471,1218.757,857.237,2926.118,3.645,2.2,1.6,,,,,,,,,,66606202.0,311.253,,69453.0,0.325,,,tests performed,358789930.0,169261105.0,149542396.0,44986684.0,1656940.0,1165809.0,167.66,79.1,69.88,21.02,5448.0,215591.0,0.101,,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,
VGB,North America,British Virgin Islands,2022-01-28,5839.0,30.0,33.857,49.0,0.0,0.286,191927.16,986.096,1112.88,1610.624,0.0,9.391,,,,,,,,,,,,,,,,,,,36290.0,18728.0,17200.0,,,22.0,119.28,61.56,56.54,,723.0,11.0,0.036,,30423.0,207.973,,,,,,,13.67,,,,,79.07,,,,,
BRN,Asia,Brunei,2022-01-28,16293.0,87.0,32.429,98.0,0.0,0.0,36901.063,197.041,73.446,221.954,0.0,0.0,1.32,,,,,,,,,,,,,,,,,,965131.0,406768.0,403033.0,,,2709.0,218.59,92.13,91.28,,6135.0,42.0,0.01,46.3,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,,
BGR,Europe,Bulgaria,2022-01-28,933337.0,9871.0,8940.857,33088.0,71.0,69.143,135331.838,1431.274,1296.405,4797.688,10.295,10.026,1.3,547.0,79.314,5216.0,756.309,,,,,75524.0,8359584.0,1212.122,10.951,35579.0,5.159,0.251,4.0,tests performed,4139365.0,,1987545.0,596235.0,12621.0,8746.0,60.02,,28.82,8.65,1268.0,,,50.0,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,,,,
BFA,Africa,Burkina Faso,2022-01-28,20611.0,20.0,25.143,366.0,13.0,1.857,958.781,0.93,1.17,17.026,0.605,0.086,0.42,,,,,,,,,506.0,308041.0,14.329,0.024,320.0,0.015,0.07,14.4,tests performed,,,,,,,,,,,,,,13.89,21497097.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,,,
BDI,Africa,Burundi,2022-01-28,37299.0,34.0,61.571,38.0,0.0,0.0,3043.468,2.774,5.024,3.101,0.0,0.0,0.66,,,,,,,,,6394.0,1340190.0,109.355,0.522,2712.0,0.221,0.021,47.8,tests performed,,,,,,,,,,,,,,8.33,12255429.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,,,,
KHM,Asia,Cambodia,2022-01-28,121188.0,38.0,33.143,3015.0,0.0,0.0,7151.234,2.242,1.956,177.913,0.0,0.0,1.3,,,,,,,,,,,,,,,,,,32974546.0,14348054.0,13751678.0,5927965.0,79450.0,99300.0,194.58,84.67,81.15,34.98,5860.0,3077.0,0.018,,16946446.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,,,,
CMR,Africa,Cameroon,2022-01-28,114113.0,0.0,0.0,1867.0,0.0,0.0,4191.592,0.0,0.0,68.579,0.0,0.0,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,
CAN,North America,Canada,2022-01-28,3015416.0,17688.0,17785.714,33523.0,155.0,163.286,79211.487,464.643,467.21,880.61,4.072,4.289,0.56,1198.0,31.47,10561.0,277.425,,,,,98748.0,56237733.0,1477.3,2.594,90707.0,2.383,0.204,4.9,tests performed,77110756.0,32293647.0,29980491.0,14836618.0,259273.0,269614.0,202.56,84.83,78.76,38.97,7082.0,19291.0,0.051,75.46,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
CPV,Africa,Cape Verde,2022-01-28,55635.0,40.0,65.286,395.0,2.0,1.714,99012.104,71.187,116.187,702.971,3.559,3.051,0.52,,,,,,,,,913.0,,,1.625,,,,,tests performed,,,,,,,,,,,,,,55.56,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,,,
CYM,North America,Cayman Islands,2022-01-28,13788.0,54.0,252.143,15.0,0.0,0.0,207344.582,812.054,3791.736,225.571,0.0,0.0,,,,,,,,,,,,,,,,,,,136593.0,59188.0,57353.0,,,194.0,205.41,89.01,86.25,,2917.0,13.0,0.02,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CAF,Africa,Central African Republic,2022-01-28,13898.0,0.0,55.571,110.0,0.0,0.143,2824.804,0.0,11.295,22.358,0.0,0.029,0.68,,,,,,,,,,81294.0,16.523,,253.0,0.051,0.165,6.1,tests performed,603963.0,530449.0,505201.0,,,2825.0,12.28,10.78,10.27,,574.0,2785.0,0.057,24.07,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,,,,
